numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201221518S;INSTITUT DE RECHERCHE SUR LES TRANSPORTS, L'ÉNERGIE ET LA SOCIÉTÉ;IRTES;2012;Unité mixte;22;2;;UTBM;90010;BELFORT CEDEX;BELOT;Robert;;EA 7274,EA 7274;Université de Technologie de Belfort-Montbéliard,Université Bourgogne Franche-Comté;UT BELFORT,UBFC;UNIV,SITE;Université,Site;0900424X,0251985X;19900356700013,13002091000019;TUTE,TUTE;établissement tutelle,établissement tutelle;;;200014614P,200014615R,200014613N;"fusion;fusion;fusion";"F;F;F";"2012;2012;2012";2,4,8,9;Physique,Chimie,Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE6;PE5;PE8";Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221518S&PUBLIC=OK
201521528P;Architecture Territoire Environnement Normandie;ATE;2015;Unité propre;21;2;;27, rue Lucien Fromage;76160;Darnétal;NC;NC;;EA 7464;Ecole nationale supérieure d'architecture de Normandie;EC. ARCHI. NORMANDIE;AUT_ETAB;Autres établissements ESR;0760164R;19760164400028;TUTE;établissement tutelle;;;;;;;7;Sciences de la société;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521528P&PUBLIC=OK
201521867H;Pathophysiology of glomerular diseases;;2015;Equipe interne;1;1;http://www.imrb.inserm.fr;UPEC - Faculté de médecine de Créteil - 8, rue du Général Sarrail;94010;Créteil Cedex;SAHALI;Djillali;;;Université Paris est Créteil Val de Marne;UPEC;UNIV;Université;0941111X;19941111700013;TUTE;établissement tutelle;;;;;;;;;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521867H&PUBLIC=OK
201621871H;Unité Expérimentale Systèmes d'Elevage de Ruminants de Moyenne Montagne;HerbiPole;2016;Unité propre;21;2;https://www6.clermont.inrae.fr/herbipole;1739 route des Razats;63820;LAQUEUILLE;BAK,NOTE,BRUN,PRADEL;Pascal,Priscilla,Matthieu,Philippe;Directeur adjoint,Directrice adjointe,Directeur,Directeur adjoint;UE 1414;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INRAE;EPST;Organismes de type EPST;;18007003901803;TUTE;établissement tutelle;;200417731K;;;;;10;Sciences agronomiques et écologiques;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201621871H&PUBLIC=OK
200014572U;LABORATOIRE D'ETUDE EN SCIENCES DES ARTS;LESA;2000;Unité propre;21;2;http://lesa.univ-amu.fr/;.29 avenue Robert Schuman;13621;AIX-EN-PROVENCE CEDEX 1;GUILLO;Anna;Directrice;UR 3274;Université Aix-Marseille;AIX-MARSEILLE;UNIV;Université;0134009M;13001533200013;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200014572U&PUBLIC=OK
201421914N;Unité de Dynamique du génome;;2014;Unité propre;21;2;https://research.pasteur.fr/en/team/dynamics-of-the-genome/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;ARCANGIOLI;Benoit;;,;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;201220446B,200621928N;200118092R;renouvellement;R;2014;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421914N&PUBLIC=OK
201121919G;Unité de Pathogénomique mycobactérienne intégrée;;2011;Unité propre;21;2;https://research.pasteur.fr/en/team/integrated-mycobacterial-pathogenomics/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;BROSCH;Roland;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201722310F,200621933U;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201121919G&PUBLIC=OK
201220304X;Institut de Recherches Asiatiques;IrAsia;2012;Unité mixte;22;2;http://www.irasia-recherche.com/;3 place Victor Hugo;13331;MARSEILLE CEDEX 03;NGUYEN,RAMIREZ;Thi Phuong Ngoc,Philippe;Directeur,Dir Adj;UMR 7306,UMR 7306;Centre national de la recherche scientifique,Université Aix-Marseille;CNRS,AIX-MARSEILLE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0134009M;18008901303720,13001533200013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH4;SH2;SH3;SH6;SH5";The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy,Institutions, Governance and Legal Systems : Political science, international relations, law,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,The Study of the Human Past : Archaeology and history,Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220304X&PUBLIC=OK
201521304W;Laboratoire de maladies neurodégénératives : mécanismes, thérapies, imagerie;LMN;2015;Unité mixte;22;2;https://jacob.cea.fr/drf/ifrancoisjacob/Pages/Departements/MIRCen/UMR9199.aspx;18 Route du Panorama;92265;FONTENAY AUX ROSES CEDEX;BONVENTO,VALETTE;Gilles,Julien;DIR,DIR-ADJ;UMR 9199,UMR 9199,UMR 9199;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Paris-Saclay;CNRS,CEA,U PARIS-SACLAY;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0753639Y,0912281K,0912408Y;18008901303720,77568501900587,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201722559B;201119735H;renouvellement;R;2015;5;Biologie, médecine et santé;LS5;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521304W&PUBLIC=OK
200012123G;LABORATOIRE DE PSYCHOLOGIE SOCIALE ET COGNITIVE;LAPSCO;2000;Unité mixte;22;2;https://www.lapsco.fr/;34 Avenue Carnot - TSA 60401;63037;CLERMONT FERRAND CEDEX 1;HUGUET,FERRAND,DE ABREU MIRANDA;Pascal,Ludovic,Jordao;DIR,Directeur adjoint,Gestionnaire;UMR 6024,UMR 6024;Centre national de la recherche scientifique,Université Clermont Auvergne  (EPE);CNRS,U Clermont Auvergne;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0632084Y;18008901303720,13002806100013;TUTE,TUTE;établissement tutelle,établissement tutelle;201723002H,201723001G,201723000F,202124074F;200610832C;;;;;6;Sciences humaines et humanités;"SH4;SH3;LS7;SH2;SH6;LS5";The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Institutions, Governance and Legal Systems : Political science, international relations, law,The Study of the Human Past : Archaeology and history,Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012123G&PUBLIC=OK
201622412W;Institut d'études de l'Islam et des sociétés du monde musulman;IISMM;2016;Unité mixte;22;2;;96 boulevard Raspail;75006;PARIS;AVON;Dominique;Directeur;,UAR 2500;Ecole des Hautes Etudes en Sciences Sociales Paris,Centre national de la recherche scientifique;EHESS PARIS,CNRS;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0753742K,0753639Y;19753742600011,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;;;"SH5;SH6;SH2";Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy,The Study of the Human Past : Archaeology and history,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622412W&PUBLIC=OK
201222031Z;Modélisation multi-échelle des systèmes urbains;Avenues;2012;Unité propre;21;2;https://avenues.utc.fr/;;;;SECHILARIU;Manuela;DIR;EA 7284;Université de Technologie de Compiègne;UT COMPIEGNE;UNIV;Université;0601223D;19601223100169;TUTE;établissement tutelle;;;;;;;;;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201222031Z&PUBLIC=OK
201622149K;SAnté INgenierie BIOlogie Saint-Etienne - U1059;SAINBIOSE;2016;Unité mixte;22;2;;Faculté de Médecine - campus Santé Innovations - 10 rue de la Marandinière;42270;Saint Priest en Jarez;VICO;Laurence;;U 1059,U 1059,U 1059;Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne),Université Jean Monnet Saint-Etienne,Institut national de la sante et de la recherche medicale;ENSM ST-ETIENNE,SAINT-ETIENNE,INSERM;AUT_ETAB,UNIV,EPST;Autres établissements ESR,Université,Organismes de type EPST;0420094Z,0421095M,0755364Y;18009202500105,19421095100423,18003604800015;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;201119433E,201119389G,201119379W;"fusion;fusion;fusion";"F;F;F";"2016;2016;2016";5;Biologie, médecine et santé;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622149K&PUBLIC=OK
201622207Y;Centre d'Etudes et de Recherches en Psychopathologie et Psychologie de la Santé;CERPPS;2016;Unité propre;21;2;http://cerpps.univ-tlse2.fr/;Université Toulouse Jean Jaurès - Maison de la Recherche - 5 allées Antonio Machado;31058;TOULOUSE Cedex 9;ROUSSEAU,BATTY,CANTISANO;Amélie,Magali,Nicole;Co-directrice,Co-directrice,Co-Directrice;EA 7411;Université Toulouse - Jean Jaurès;TOULOUSE 2;UNIV;Université;0311383K;19311383400017;TUTE;établissement tutelle;;201119570D;;;;;6;Sciences humaines et humanités;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622207Y&PUBLIC=OK
200815515J;Laboratoire de Physiologie Expérimentale Cardiovasculaire;UPR-4278;2008;Unité propre;21;2;http://blogs.univ-avignon.fr/lapec;UFR Sciences Technologies Santé - Centre INRAE - Site Agroparc 228 route de l'Aérodrome, 84914 AVIGNON Cedex9;84000;AVIGNON;;;;EA 4278;AVIGNON UNIVERSITE;AU;UNIV;Université;0840685N;19840685200204;TUTE;établissement tutelle;;201320914F;;;;;;;LS4;Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases));https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200815515J&PUBLIC=OK
201220283Z;Hématopoïèse et immunologie - UR UPJV 4666;HEMATIM;2000;Unité propre;21;2;http://lynpac.webnode.fr/a-propos-de-nous/;Université de Picardie Jules Verne - CURS - CHU Sud avenue Laënnec;80054;AMIENS CEDEX 1;GARÇON;Loic;;UR 4666,EA 4666,EA 4666;Université Picardie Jules-Verne Amiens,Institut national de la sante et de la recherche medicale,CHU Amiens-Picardie;AMIENS,INSERM,CHU AMIENS-PICARDIE;UNIV,EPST,MEDIC;Université,Organismes de type EPST,Etablissements de santé;0801344B,0755364Y,;19801344300017,18003604800015,26800014800018;TUTE,PART,PART;établissement tutelle,établissement participant,établissement participant;;;200816546E;renouvellement;R;2012;5;Biologie, médecine et santé;"LS1;LS3;LS4;LS6";Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases)),Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220283Z&PUBLIC=OK
200415049V;.JPEG - Laboratoire des sciences Juridiques, Politique, Economiques et de Gestion;UPR - 3788;2004;Unité propre;21;2;https://univ-avignon.fr/laboratoire/laboratoires-en-sciences-humaines-et-sociales/upr-3788-jpeg-laboratoire-sciences-juridiques-politique-economiques-gestion/;AVIGNON UNIVERSITE - Campus Hannah Arendt, site Sainte Marthe Bâtiment Nord - 74 rue Louis Pasteur, 84 000 Avignon;84029;AVIGNON CEDEX 1;LAGIER;Christele;;EA 3788;AVIGNON UNIVERSITE;AU;UNIV;Université;0840685N;19840685200204;TUTE;établissement tutelle;;201420876K;;;;;7;Sciences de la société;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200415049V&PUBLIC=OK
201421921W;Unité d'Analyse d'images biologiques;;2014;Unité propre;21;2;https://research.pasteur.fr/en/team/bioimage-analysis/;Institut Pasteur, 25-28 rue du Docteur Roux;;;OLIVO-MARIN;Jean-Christophe;;,;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;200621925K,199818058S;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421921W&PUBLIC=OK
200621925K;Département de Biologie cellulaire et Infection;;2006;Unité propre;21;2;https://research.pasteur.fr/en/department/cell-biology-infection/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;DUMENIL;Guillaume;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202424480J,202224297U,202224260D,202124143F,201923140Z,201822821G,201822789X,201722531W,201722245K,201521905Z,201521899T,201421921W,201421920V,201421559C,201421553W,201321623B,201321618W,200621893A,200521883U,200218063E,200118060F;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200621925K&PUBLIC=OK
